RFn     COSY Toff           G4toff              diff
1  1.111600000000000  1.111600000000000 0.0000000000000000E+000
2  1.508000000000000  1.508000000000000 0.0000000000000000E+000
3  1.903400000000000  1.903400000000000 0.0000000000000000E+000
4  2.297900000000000  2.297900000000000 0.0000000000000000E+000
5  4.136900000000000  4.136900000000000 0.0000000000000000E+000
6  4.530000000000000  4.529700000000000 0.2999999999998626E-003
7  4.922200000000000  4.921700000000000 0.4999999999995242E-003
8  5.313700000000000  5.312900000000000 0.8000000000001274E-003
9  7.138700000000000  7.136800000000000 0.1899999999999377E-002
10  7.528800000000000  7.526500000000000 0.2300000000000181E-002
11  7.918200000000000  7.915400000000000 0.2799999999999705E-002
12  8.306900000000001  8.303699999999999 0.3200000000001991E-002
13  10.11940000000000  10.11430000000000 0.5099999999999887E-002
14  10.50690000000000  10.50120000000000 0.5699999999999612E-002
15  10.89370000000000  10.88740000000000 0.6300000000000818E-002
16  11.27990000000000  11.27300000000000 0.6899999999999062E-002
17  13.08120000000000  13.07170000000000 0.9500000000001327E-002
18  13.46630000000000  13.45610000000000 0.1019999999999977E-001
19  13.85090000000000  13.83990000000000 0.1099999999999842E-001
20  14.23480000000000  14.22310000000000 0.1169999999999835E-001
21  16.02590000000000  16.01110000000000 0.1480000000000013E-001
22  16.40890000000000  16.39320000000000 0.1570000000000046E-001
23  16.79140000000000  16.77490000000000 0.1650000000000207E-001
24  17.17330000000000  17.15600000000000 0.1730000000000368E-001
25  18.95520000000000  18.93430000000000 0.2090000000000203E-001
26  19.33620000000000  19.31450000000000 0.2170000000000364E-001
27  19.71680000000000  19.69420000000000 0.2260000000000101E-001
28  20.09690000000000  20.07340000000000 0.2350000000000134E-001
29  21.87040000000000  21.84300000000000 0.2739999999999881E-001
30  22.24960000000000  22.22130000000000 0.2829999999999914E-001
31  22.62850000000000  22.59920000000000 0.2929999999999819E-001
32  23.00680000000000  22.97670000000000 0.3009999999999979E-001
33  24.77270000000000  24.73830000000000 0.3440000000000103E-001
34  25.15040000000000  25.11500000000000 0.3540000000000305E-001
35  25.52760000000000  25.49130000000000 0.3630000000000041E-001
36  25.90450000000000  25.86720000000000 0.3729999999999650E-001
37  27.66330000000000  27.62160000000000 0.4169999999999646E-001
38  28.03950000000000  27.99680000000000 0.4269999999999551E-001
39  28.41530000000000  28.37160000000000 0.4369999999999456E-001
40  28.79070000000000  28.74600000000000 0.4470000000000545E-001
41  30.54310000000000  30.49390000000000 0.4920000000000413E-001
42  30.91790000000000  30.86770000000000 0.5019999999999725E-001
43  31.29240000000000  31.24110000000000 0.5129999999999799E-001
44  31.66650000000000  31.61430000000000 0.5220000000000127E-001
45  33.41300000000000  33.35610000000000 0.5689999999999740E-001
46  33.78660000000000  33.72860000000000 0.5799999999999813E-001
47  34.15980000000000  34.10080000000000 0.5899999999999717E-001
48  34.53280000000000  34.47270000000000 0.6009999999999791E-001
49  36.27370000000000  36.20900000000000 0.6469999999999235E-001
50  36.64620000000000  36.58040000000000 0.6580000000000492E-001
51  37.01830000000000  36.95150000000000 0.6680000000000397E-001
52  37.39010000000000  37.32230000000000 0.6779999999999710E-001
53  39.12600000000000  39.05350000000000 0.7249999999999913E-001
54  39.49740000000000  39.42370000000000 0.7370000000000156E-001
55  39.86850000000000  39.79370000000000 0.7479999999999636E-001
56  40.23930000000000  40.16350000000000 0.7580000000000132E-001
57  41.97050000000000  41.89000000000000 0.8049999999999745E-001
58  42.34090000000000  42.25930000000000 0.8159999999999226E-001
59  42.71100000000000  42.62830000000000 0.8269999999999299E-001
60  43.08080000000000  42.99710000000000 0.8369999999999796E-001
61  44.80770000000000  44.71930000000000 0.8840000000000001E-001
62  45.17710000000000  45.08760000000000 0.8950000000000073E-001
63  45.54630000000000  45.45580000000000 0.9049999999999386E-001
64  45.91530000000000  45.82370000000000 0.9160000000000051E-001
65  47.63810000000000  47.54180000000000 0.9630000000000256E-001
66  48.00670000000000  47.90930000000000 0.9739999999999736E-001
67  48.37500000000000  48.27660000000000 0.9839999999999641E-001
68  48.74320000000000  48.64370000000000 0.9949999999999715E-001
69  50.46220000000000  50.35800000000000 0.1042000000000051
70  50.83000000000000  50.72480000000000 0.1051999999999923
71  51.19760000000000  51.09130000000000 0.1063000000000049
72  51.56490000000000  51.45760000000000 0.1073000000000039
73  53.28040000000000  53.16850000000000 0.1118999999999984
74  53.64750000000000  53.53449999999999 0.1130000000000050
75  54.01430000000000  53.90030000000000 0.1139999999999982
76  54.38100000000000  54.26590000000000 0.1150999999999989
77  56.09320000000000  55.97350000000000 0.1196999999999933
78  56.45950000000001  56.33879999999999 0.1207000000000101
79  56.82560000000001  56.70389999999999 0.1217000000000151
80  57.19160000000000  57.06889999999999 0.1227000000000082
81  58.90070000000000  58.77340000000000 0.1273000000000027
82  59.26640000000000  59.13810000000000 0.1282999999999958
83  59.63190000000000  59.50260000000000 0.1293000000000008
84  59.99720000000001  59.86689999999999 0.1303000000000057
85  61.70350000000001  61.56860000000000 0.1349000000000002
86  62.06850000000001  61.93270000000000 0.1358000000000094
87  62.43340000000000  62.29660000000000 0.1368000000000025
88  62.79820000000000  62.66029999999999 0.1379000000000033
89  64.50160000000000  64.35930000000000 0.1422999999999943
90  64.86610000000000  64.72280000000001 0.1432999999999993
91  65.23050000000001  65.08620000000001 0.1443000000000043
92  65.59460000000000  65.44940000000000 0.1452000000000016
93  67.29559999999999  67.14590000000000 0.1497000000000003
94  67.65949999999999  67.50890000000000 0.1505999999999977
95  68.02330000000001  67.87170000000000 0.1516000000000026
